名次,昵称,总分,最后提交时间
1,sgx,1314,2021/11/18 11:48
2,Geek,823,2021/11/19 23:23
3,冲冲冲！,823,2021/11/20 9:29
4,我来看看题,558,2021/11/15 20:18
5,Touhou_cheng,558,2021/11/15 20:42
6,端茶送水,281,2021/11/16 8:54
7,zjo_2001,273,2021/11/14 2:30
8,Betty,145,2021/11/16 23:54
9,Hankpipi,98,2021/11/15 14:46
10,Osako,98,2021/11/16 15:39
11,LinLan,98,2021/11/16 15:45
12,不过贪嗔痴妄,98,2021/11/16 15:46
